signature,beneficiary,mint,amount
wsL1HLEDswiwT11qDEptc1ncxqkKL3qJQ4tcUH7VYdiKuyuSDEoaFKWLJjCJgK93xJ3RPbu1GQzUv42qM3H1W8T,DvwDAqaNRgCZfL5UCZUrUzbNS3cbiUxZaLYokTZ9KPgd,So11111111111111111111111111111111111111112,2.094199999999949e-05
3GdvL9K3bNGQJrZKPirnHkHAh6n4cAgkV8HADuHAuhM9xhMUccfbeTanP6pJPuZCSJSQFgs7c6jJY7ed9apoMVsb,dexvcNUf31JyHkxcsceWpqGErhXe5Eu5QWLe993m1Pu,So11111111111111111111111111111111111111112,0.010020870000000015
3uosobA1RioKRJacTVq4u3GXbXPpvVmcmjMqNkCkgen4ptYVn1V9obD4C4SJengGxzu5Q1RMESja2owkMRaiTAGb,ByL8L3Ns8hfy17TUNcKiKjQgnLEHgHcPBpekAdnuyeM4,So11111111111111111111111111111111111111112,5.0554000000001265e-05
4qeCG6FZpPypk8k8ftesVFDAdJkyymPPBh2CeNFEm8JRC5zsdiWvSfSEdmCMSCr5pGjoj51Xha5GmrUbvWxiXdjN,A7FMMgue4aZmPLLoutVtbC7gJcyqkHybUieiaDg9aaVE,So11111111111111111111111111111111111111112,0.041491672000001145
TE3F3y1dEDCxtTH77hbpxg4BTVqjZxiinXNPos9c12StJXzw6RbLecVH4XEmRQA3TKWGJ9beACQawafevnhwYuU,A7FMMgue4aZmPLLoutVtbC7gJcyqkHybUieiaDg9aaVE,So11111111111111111111111111111111111111112,0.010973063999999866
568LeZM7F8DuzJq52wpVE1RhCrMBvmSpNnEGF9DdhfKBfFMZ3ede3pLd7AojZjjBfcFieQwazNqefpFmN6FSL6QH,DvwDAqaNRgCZfL5UCZUrUzbNS3cbiUxZaLYokTZ9KPgd,So11111111111111111111111111111111111111112,2.7463000000005344e-05
5c5fykvN2hbEjDdhE48QLYi5pZxUQHv56fYjWNYhDCynoPLJDgvra1LfgiceknPsHraem5mzQFgcPuTLstHULEtw,EfhdFC7SU34p2roTf3x21StiXPYWxYs1DwaiNcLUPbrY,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.0006989999999973406
3PrvJRxZ5VbfMtgbt51kAx16Nv7MWhReLS8ANoTvohpa6EU7ohNexky52ALsXcyZ2Yh5ZqjVdzV33vdADb36r26H,4QbWA5MChbahM5GqstbfHfbE3HuYX1grg4VB5MhmUcXr,So11111111111111111111111111111111111111112,0.0004252069999999969
Si5DWahoJZ5saseEmZp7HWgj3n8CZ8GbAfCio3sa4UUUKLZyGeXLQkoney1Lrr6kipqvVFepcsWaTzNuFB646ph,wrongpDtP8oMtw7iDT6FPvcVSS4qcKiqzD2DNSeVyKc,So11111111111111111111111111111111111111112,1.3167000000000127e-05
UdiyEWqD3LEEwa9A3kiQib8LnG1niikK4iAanDsbRr6DbpUSDZpn5RMxZyKB1ERsVuaEbFLepZ1fiPz4mqzo9p7,5N83N1WJykHfGg9EWqpopKhMCj6CXpArvCQ6dZ4G5FpS,So11111111111111111111111111111111111111112,0.0005103749999999518
5BiHVNmcqAMkF8S35c3qBnNMuPxVPA7h9K8vXAvXHKmbV8mtfnhjXVAr4oYP79xjYzh53iYzFkaUD2VamMuLcFuX,nov8f5D9jFQjEbMqZQax8Y3nJdb2bDk94cpneCtxmUL,So11111111111111111111111111111111111111112,1.2253999999999737e-05
UjjfPrT4K4iEvG3Y284QgY8F57Lngo6VRJYjE4VZqKEwCDu4sV6s68hfqtTsdEaQ6ZDu9ymupEU3Jtsw1k52YVK,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,0.00011498599999999748
5iSSAwVxo2tabSy4oE47FWndBzcEDUcWcAM1hTmavs3K9JgS4dXTaj2T2DJZz2igSQ44S9fen6QeUiPEcKmerDNd,7RGvbPfo6xp8WLaTH5aY4KUn6beoxtVwo8ofz4StKJ6E,So11111111111111111111111111111111111111112,0.00033996000000000026
DBUWVxgnKbbE87HPzEHBCkiyGecYDBJuVmaYxf6Tdy18LNFyzbZogB6qXq2gS4x2NKjr8eUiGfjMwZU5mpavkUa,EuLceVgXMaJNPT7C88pnL7DRWcf1poy9BCeWY1GL8Agd,So11111111111111111111111111111111111111112,3.44809999999994e-05
27QrhDcN3p3QvAProJ8c2Dhv9NhSxDeLAT3LxeTgyX2ttZrBnufqVfvD1mikbq2AB1XVSGVgbPigreSuPrUCWz3r,Awch9PiL7nwQqKNjXHzJd1KvTkFtauVqQDSjdUTqe28n,So11111111111111111111111111111111111111112,7.748600000000161e-05
39dnJasasRLyGSViQHiCTTnKP1bi3FrVaSsc1JGx8KK4r7BwD5H7GVTg54u33CYhwnyJzjC4oDZUsHPMBUm2kGDn,ByL8L3Ns8hfy17TUNcKiKjQgnLEHgHcPBpekAdnuyeM4,So11111111111111111111111111111111111111112,1.796799999999668e-05
